Language,github.rank,so.rank
JavaScript,1,4
Ruby,2,9
Python,3,6
Shell,4,13
Java,5,2
PHP,6,3
C#,7,1
C,8,8
Perl,9,10
C++,10,5
Objective-C,11,7
VimL,12,61
CoffeeScript,13,29
Haskell,14,16
ActionScript,15,17
ASP,16,37
Scala,17,14
Lua,18,24
Assembly,19,18
Clojure,20,21
Groovy,21,19
Rust,22,59
Erlang,23,23
Prolog,24,26
D,25,33
Scheme,26,25
R,27,12
Go,28,31
Tcl,29,30
SuperCollider,30,56
Matlab,31,15
OCaml,32,28
ColdFusion,33,20
FORTRAN,34,27
Delphi,35,11
Smalltalk,36,36
Verilog,37,40
HaXe,38,44
Ada,39,39
Objective-J,40,48
VHDL,41,38
Racket,42,35
Vala,43,46
Gosu,44,62
Io,45,22
XQuery,46,32
Eiffel,47,51
Boo,48,45
ooc,49,60
AutoHotkey,50,43
Arc,51,49
Nemerle,52,50
Nu,53,57
Factor,54,47
Parrot,55,54
Mirah,56,55
Arduino,57,34
Turing,58,53
Rebol,59,41
Self,60,42
Dylan,61,63
Ioke,62,58
Fancy,63,52
